SemiMajor Axis,Inclination,Number of Sats,Planes,Spacing Factor,COV Wertz,COV Wertz w/ 35 degree elevation angle,COV from propagation,DeltaV/day [km/s^2/day],Inc Maintenance,RAAN Maintenance,a and ecc Maintenance
45500,55,21,7,2,2.019812308,0.842272111,2.0184,0.041611733,0.019436094,0.010984822,0.011190816
45500,55,24,8,2,2.308356923,0.962596698,2.3076,0.044129165,0.020279876,0.009696951,0.014152338
45500,55,18,9,2,1.731267692,0.721947524,1.728,0.049217593,0.022919979,0.010833724,0.01546389
45500,55,20,10,2,1.923630769,0.802163915,1.9216,0.049487268,0.022541808,0.010792373,0.016153088
50500,55,22,2,2,2.124311287,0.887845157,2.125,0.066589915,0.028090534,0.001480204,0.037019178
50500,55,18,3,2,1.738072871,0.726418765,1.7386,0.043454679,0.024002433,0.002207405,0.017244841
50500,55,20,4,2,1.931192079,0.807131961,1.9304,0.040071687,0.01736864,0.006511057,0.016191991
50500,55,15,5,2,1.448394059,0.605348971,1.4464,0.039765927,0.018419664,0.008661148,0.012685116
50500,55,18,6,2,1.738072871,0.726418765,1.7384,0.053090718,0.026880721,0.008528438,0.017681559
50500,55,21,7,2,2.027751683,0.847488559,2.0314,0.045554624,0.020769685,0.012475518,0.012309422
50500,55,24,8,2,2.317430495,0.968558353,2.319,0.047902695,0.021621359,0.010631801,0.015649536
50500,55,18,9,2,1.738072871,0.726418765,1.7372,0.055859376,0.02586186,0.012181049,0.017816467
50500,55,20,10,2,1.931192079,0.807131961,1.9324,0.055995072,0.025385249,0.012116311,0.018493512
55500,55,18,2,2,1.743651892,0.730091773,1.7464,0.069682975,0.028810747,0.001497135,0.039375093
55500,55,18,3,2,1.743651892,0.730091773,1.7462,0.044541294,0.025145798,0.001986637,0.017408859
55500,55,20,4,2,1.937390991,0.811213081,1.9398,0.04351258,0.018676535,0.007164819,0.017671226
55500,55,15,5,2,1.453043243,0.608409811,1.4544,0.044125353,0.019916926,0.010181551,0.014026877
55500,55,18,6,2,1.743651892,0.730091773,1.7444,0.05593702,0.028458446,0.009262957,0.018215617
55500,55,14,7,2,1.356173694,0.567849157,1.3564,0.066624307,0.030693757,0.013612124,0.022318427
55500,55,24,8,2,2.324869189,0.973455697,2.3244,0.05159196,0.022959496,0.011525072,0.017107392
55500,55,18,9,2,1.743651892,0.730091773,1.7472,0.062340484,0.028696068,0.013489388,0.020155029
